Section,Metric,Value
Company Data,Ticker,IONQ
Company Data,Company Name,"IonQ, Inc."
Company Data,Sector,Technology
Company Data,Industry,Computer Hardware
Company Data,Current Price,46.2
Company Data,Market Cap,16938804224.0
Company Data,Total Revenue,130016000.0
Company Data,Gross Profits,54687000.0
Company Data,Net Income,-510377984.0
Company Data,Total Cash,2392155904.0
Company Data,Total Debt,30021000.0
Company Data,Book Value,10.479
Company Data,Profit Margin,0.0
Company Data,Return on Equity,-0.24400999
Company Data,Debt to Equity,0.787
Company Data,Trailing PE,
Company Data,Forward PE,-51.541218
Company Data,Recommendation,strong_buy
Calculated Ratios,Net Profit Margin,-3.925501353679547
Calculated Ratios,Cash to Debt Ratio,79.68275220678858
Calculated Ratios,Market Cap to Revenue,130.2824592665518
Calculated Ratios,Debt to Equity,0.787
Calculated Ratios,Trailing PE,
Calculated Ratios,Return on Equity,-0.24400999
Category,Company Category,Losing Company
Score,Financial Health Score,25
