Section,Metric,Value
Company Data,Ticker,AAPL
Company Data,Company Name,Apple Inc.
Company Data,Sector,Technology
Company Data,Industry,Consumer Electronics
Company Data,Current Price,280.25
Company Data,Market Cap,4110619508736.0
Company Data,Total Revenue,451442016256.0
Company Data,Gross Profits,216070995968.0
Company Data,Net Income,122575003648.0
Company Data,Total Cash,68507000832.0
Company Data,Total Debt,84710998016.0
Company Data,Book Value,5.998
Company Data,Profit Margin,0.27152002
Company Data,Return on Equity,1.4147099
Company Data,Debt to Equity,79.548
Company Data,Trailing PE,33.92857
Company Data,Forward PE,29.304062
Company Data,Recommendation,buy
Calculated Ratios,Net Profit Margin,0.2715188202120983
Calculated Ratios,Cash to Debt Ratio,0.8087143633824332
Calculated Ratios,Market Cap to Revenue,9.10553152058621
Calculated Ratios,Debt to Equity,79.548
Calculated Ratios,Trailing PE,33.92857
Calculated Ratios,Return on Equity,1.4147099
Category,Company Category,Growth / Strong Profit Company
Score,Financial Health Score,90
