Section,Metric,Value
Company Data,Ticker,GM
Company Data,Company Name,General Motors Company
Company Data,Sector,Consumer Cyclical
Company Data,Industry,Auto Manufacturers
Company Data,Current Price,76.44
Company Data,Market Cap,68923293696
Company Data,Total Revenue,185019000000.0
Company Data,Gross Profits,11596000000.0
Company Data,Net Income,2697000000.0
Company Data,Total Cash,24418000896
Company Data,Total Debt,218116000000.0
Company Data,Book Value,68.78
Company Data,Profit Margin,0.0137600005
Company Data,Return on Equity,0.040149998
Company Data,Debt to Equity,199.048
Company Data,Trailing PE,27.897812
Company Data,Forward PE,5.4344463
Company Data,Recommendation,buy
Company Data,Total Assets,281284000000.0
Company Data,Total Liabilities,218116000000.0
Company Data,Stockholders Equity,61119000000.0
Company Data,Current Assets,108767000000.0
Company Data,Current Liabilities,93342000000.0
Company Data,Operating Income,2909000000.0
Company Data,Operating Cash Flow,26867000000.0
Company Data,Free Cash Flow,1771000000.0
Calculated Ratios,Net Profit Margin,0.014576881293272583
Calculated Ratios,Cash to Debt Ratio,0.11194960890535312
Calculated Ratios,Market Cap to Revenue,0.37252008548311255
Calculated Ratios,Debt to Equity,199.048
Calculated Ratios,Trailing PE,27.897812
Calculated Ratios,Return on Equity,0.040149998
Category,Company Category,Neutral / Needs More Review
Score,Financial Health Score,30
